,Date,Station,Gates,Barrier_Hit,HCSS_Error,HCSS_Uncleared,Intrusion,Passage_Cancel,Tailgate
0,2018-10-15,ADM,G01,0,0,0,0,0,0
1,2018-10-15,ADM,G02,0,0,0,7,76,27
2,2018-10-15,ADM,G03,0,1,1,7,16,26
3,2018-10-15,ADM,G04,0,1,0,3,53,45
4,2018-10-15,ADM,G05,0,1,0,5,30,17
5,2018-10-15,ADM,G06,0,0,0,7,10,38
6,2018-10-15,ADM,G07,0,2,0,11,30,28
7,2018-10-15,ADM,G08,0,0,0,14,37,39
8,2018-10-15,ADM,G09,0,1,1,12,56,21
9,2018-10-15,ADM,G10,0,3,0,6,34,33
10,2018-10-15,ADM,G11,0,1,1,9,49,31
11,2018-10-15,ADM,G12,0,0,0,14,13,36
12,2018-10-15,ALJ,G01,1,0,0,10,30,19
13,2018-10-15,ALJ,G02,0,0,0,2,212,0
14,2018-10-15,ALJ,G03,1,0,0,111,138,30
15,2018-10-15,ALJ,G04,0,0,0,0,0,0
16,2018-10-15,ALJ,G05,0,0,0,3,21,25
17,2018-10-15,ALJ,G06,0,1,0,9,38,20
18,2018-10-15,ALJ,G07,0,0,0,15,44,30
19,2018-10-15,ALJ,G08,0,0,0,7,20,19
20,2018-10-15,AMK,G01,0,0,0,7,15,22
21,2018-10-15,AMK,G02,0,7,0,7,76,11
22,2018-10-15,AMK,G03,0,0,0,5,7,29
23,2018-10-15,AMK,G04,0,2,0,9,7,19
24,2018-10-15,AMK,G05,0,1,0,10,37,22
25,2018-10-15,AMK,G06,0,0,0,5,38,18
26,2018-10-15,AMK,G07,0,0,0,14,14,30
27,2018-10-15,AMK,G08,0,6,1,13,49,22
28,2018-10-15,AMK,G09,0,0,0,0,0,0
29,2018-10-15,AMK,G10,0,0,0,11,64,45
30,2018-10-15,AMK,G11,0,0,0,17,60,54
31,2018-10-15,AMK,G12,0,0,0,7,63,36
32,2018-10-15,AMK,G13,1,21,1,13,19,38
33,2018-10-15,AMK,G14,0,0,0,10,47,36
34,2018-10-15,AMK,G15,1,0,0,6,15,46
35,2018-10-15,BBT,G01,0,0,0,2,19,30
36,2018-10-15,BBT,G02,0,0,0,8,56,30
37,2018-10-15,BBT,G03,1,0,0,0,203,0
38,2018-10-15,BBT,G04,0,0,0,0,0,0
39,2018-10-15,BBT,G05,0,2,1,7,49,28
40,2018-10-15,BBT,G06,0,1,1,32,43,27
41,2018-10-15,BBT,G07,0,0,0,6,40,27
42,2018-10-15,BBT,G08,0,0,0,8,43,30
43,2018-10-15,BBT,G09,0,0,0,10,31,24
44,2018-10-15,BDK,G01,0,0,0,7,20,6
45,2018-10-15,BDK,G02,0,0,0,9,19,19
46,2018-10-15,BDK,G03,0,1,0,18,13,41
47,2018-10-15,BDK,G04,0,0,0,12,27,42
48,2018-10-15,BDK,G05,0,1,0,4,7,13
49,2018-10-15,BDK,G06,0,4,0,1,4,2
50,2018-10-15,BDK,G07,0,0,0,3,14,3
51,2018-10-15,BDK,G08,0,0,0,1,8,16
52,2018-10-15,BDK,G09,0,1,1,0,21,25
53,2018-10-15,BDK,G10,0,0,0,2,9,22
54,2018-10-15,BDK,G11,0,0,0,11,77,33
55,2018-10-15,BDK,G12,0,0,0,0,0,0
56,2018-10-15,BDL,G01,0,0,0,4,21,11
57,2018-10-15,BDL,G02,0,1,0,14,8,14
58,2018-10-15,BDL,G03,0,2,0,9,54,21
59,2018-10-15,BDL,G04,0,2,0,9,19,13
60,2018-10-15,BDL,G05,0,0,0,0,0,0
61,2018-10-15,BDL,G06,0,2,0,4,60,18
62,2018-10-15,BDL,G07,0,1,0,8,19,11
63,2018-10-15,BDL,G08,0,1,0,10,21,17
64,2018-10-15,BFT,G01,0,2,0,0,28,19
65,2018-10-15,BFT,G02,0,1,0,0,182,7
66,2018-10-15,BFT,G03,0,0,0,0,13,19
67,2018-10-15,BFT,G04,0,2,0,0,4,24
68,2018-10-15,BFT,G05,0,0,0,1,14,18
69,2018-10-15,BFT,G06,0,22,1,0,26,13
70,2018-10-15,BFT,G07,0,1,0,0,36,23
71,2018-10-15,BFT,G08,0,0,0,0,19,16
72,2018-10-15,BFT,G09,0,1,0,0,22,19
73,2018-10-15,BFT,G10,0,0,0,0,15,17
74,2018-10-15,BFT,G11,0,0,0,0,17,15
75,2018-10-15,BFT,G12,0,0,0,0,0,0
76,2018-10-15,BFT,G13,0,0,0,0,0,0
77,2018-10-15,BFT,G14,0,0,0,0,0,0
78,2018-10-15,BFT,G15,0,0,0,0,0,0
79,2018-10-15,BFT,G16,0,0,0,0,0,0
80,2018-10-15,BFT,G17,0,0,0,0,0,0
81,2018-10-15,BGB,G01,0,11,1,5,52,25
82,2018-10-15,BGB,G02,0,1,0,4,26,10
83,2018-10-15,BGB,G03,0,0,0,3,26,10
