Datetime,Date,Time,Station,Gate
2018-10-15 00:01:23,2018-10-15,00:01:23,BBT,G05
2018-10-15 00:03:30,2018-10-15,00:03:30,TNM,G01
2018-10-15 00:04:19,2018-10-15,00:04:19,MSL,G05
2018-10-15 00:06:14,2018-10-15,00:06:14,SBW,G02
2018-10-15 00:06:37,2018-10-15,00:06:37,BNL,G02
2018-10-15 00:09:08,2018-10-15,00:09:08,ADM,G11
2018-10-15 00:10:54,2018-10-15,00:10:54,AMK,G12
2018-10-15 00:11:04,2018-10-15,00:11:04,WDL,G09
2018-10-15 00:12:52,2018-10-15,00:12:52,PSR,G09
2018-10-15 00:13:28,2018-10-15,00:13:28,ADM,G12
2018-10-15 00:13:42,2018-10-15,00:13:42,KTB,G08
2018-10-15 00:13:45,2018-10-15,00:13:45,KTB,G01
2018-10-15 00:17:02,2018-10-15,00:17:02,WDL,G09
2018-10-15 00:19:13,2018-10-15,00:19:13,JUR,G10
2018-10-15 00:19:30,2018-10-15,00:19:30,MSL,G05
2018-10-15 00:21:58,2018-10-15,00:21:58,AMK,G04
2018-10-15 00:23:07,2018-10-15,00:23:07,TNM,G01
2018-10-15 00:23:14,2018-10-15,00:23:14,CLE,G10
2018-10-15 00:24:16,2018-10-15,00:24:16,SBW,G02
2018-10-15 00:28:17,2018-10-15,00:28:17,JUR,G03
2018-10-15 00:39:53,2018-10-15,00:39:53,TNM,G06
2018-10-15 00:47:03,2018-10-15,00:47:03,KTB,G01
2018-10-15 04:54:23,2018-10-15,04:54:23,JUR,G13
2018-10-15 05:06:09,2018-10-15,05:06:09,YIS,G11
2018-10-15 05:10:36,2018-10-15,05:10:36,KRJ,G15
2018-10-15 05:15:51,2018-10-15,05:15:51,AMK,G15
2018-10-15 05:19:31,2018-10-15,05:19:31,AMK,G14
2018-10-15 05:20:03,2018-10-15,05:20:03,LKS,G03
2018-10-15 05:23:28,2018-10-15,05:23:28,YIS,G05
2018-10-15 05:23:32,2018-10-15,05:23:32,BDK,G04
2018-10-15 05:23:49,2018-10-15,05:23:49,BNL,G09
2018-10-15 05:23:52,2018-10-15,05:23:52,TAM,G08
2018-10-15 05:25:18,2018-10-15,05:25:18,TAM,G10
2018-10-15 05:25:55,2018-10-15,05:25:55,ADM,G07
2018-10-15 05:27:41,2018-10-15,05:27:41,KRJ,G02
2018-10-15 05:28:35,2018-10-15,05:28:35,ADM,G06
2018-10-15 05:33:41,2018-10-15,05:33:41,MSL,G08
2018-10-15 05:33:46,2018-10-15,05:33:46,MSL,G07
2018-10-15 05:35:40,2018-10-15,05:35:40,LKS,G04
2018-10-15 05:38:17,2018-10-15,05:38:17,KRJ,G17
2018-10-15 05:38:33,2018-10-15,05:38:33,BGB,G07
2018-10-15 05:38:44,2018-10-15,05:38:44,WDL,G02
2018-10-15 05:39:03,2018-10-15,05:39:03,BNL,G03
2018-10-15 05:39:05,2018-10-15,05:39:05,JUR,G14
2018-10-15 05:39:11,2018-10-15,05:39:11,TAP,G07
2018-10-15 05:40:59,2018-10-15,05:40:59,KRJ,G04
2018-10-15 05:41:28,2018-10-15,05:41:28,WDL,G06
2018-10-15 05:44:30,2018-10-15,05:44:30,WDL,G02
2018-10-15 05:44:33,2018-10-15,05:44:33,PSR,G04
2018-10-15 05:44:34,2018-10-15,05:44:34,YWT,G01
2018-10-15 05:45:01,2018-10-15,05:45:01,BDK,G04
2018-10-15 05:45:44,2018-10-15,05:45:44,BNL,G21
2018-10-15 05:47:47,2018-10-15,05:47:47,BDK,G05
2018-10-15 05:47:52,2018-10-15,05:47:52,BNL,G03
2018-10-15 05:48:53,2018-10-15,05:48:53,KRJ,G17
2018-10-15 05:50:34,2018-10-15,05:50:34,CLE,G07
2018-10-15 05:51:09,2018-10-15,05:51:09,KRJ,G17
2018-10-15 05:51:17,2018-10-15,05:51:17,LVR,G05
2018-10-15 05:53:01,2018-10-15,05:53:01,TNM,G06
2018-10-15 05:53:45,2018-10-15,05:53:45,LKS,G07
2018-10-15 05:54:25,2018-10-15,05:54:25,LKS,G07
2018-10-15 05:55:10,2018-10-15,05:55:10,CLE,G08
2018-10-15 05:56:37,2018-10-15,05:56:37,BFT,G10
2018-10-15 05:57:40,2018-10-15,05:57:40,YWT,G03
2018-10-15 05:57:47,2018-10-15,05:57:47,CLE,G16
2018-10-15 06:00:07,2018-10-15,06:00:07,ADM,G08
2018-10-15 06:00:08,2018-10-15,06:00:08,TAP,G09
2018-10-15 06:00:16,2018-10-15,06:00:16,JUR,G11
2018-10-15 06:01:09,2018-10-15,06:01:09,BDK,G03
2018-10-15 06:01:48,2018-10-15,06:01:48,BNL,G21
2018-10-15 06:02:40,2018-10-15,06:02:40,JUR,G10
2018-10-15 06:03:08,2018-10-15,06:03:08,AMK,G05
2018-10-15 06:03:24,2018-10-15,06:03:24,YWT,G04
2018-10-15 06:03:30,2018-10-15,06:03:30,LKS,G07
2018-10-15 06:04:07,2018-10-15,06:04:07,JUR,G10
2018-10-15 06:04:39,2018-10-15,06:04:39,TIB,G09
2018-10-15 06:04:41,2018-10-15,06:04:41,ADM,G11
2018-10-15 06:05:05,2018-10-15,06:05:05,BNL,G09
2018-10-15 06:05:47,2018-10-15,06:05:47,ADM,G08
2018-10-15 06:05:49,2018-10-15,06:05:49,AMK,G02
2018-10-15 06:05:59,2018-10-15,06:05:59,BBT,G02
2018-10-15 06:06:42,2018-10-15,06:06:42,OTP,G01
2018-10-15 06:07:50,2018-10-15,06:07:50,AMK,G14
2018-10-15 06:08:15,2018-10-15,06:08:15,BFT,G10
2018-10-15 06:08:23,2018-10-15,06:08:23,BNL,G03
2018-10-15 06:09:20,2018-10-15,06:09:20,BNL,G03
2018-10-15 06:09:49,2018-10-15,06:09:49,TIB,G03
2018-10-15 06:09:51,2018-10-15,06:09:51,CLE,G03
2018-10-15 06:09:57,2018-10-15,06:09:57,AMK,G03
2018-10-15 06:10:03,2018-10-15,06:10:03,PSR,G04
2018-10-15 06:10:06,2018-10-15,06:10:06,LKS,G04
2018-10-15 06:10:07,2018-10-15,06:10:07,NEW,G11
2018-10-15 06:10:47,2018-10-15,06:10:47,BGB,G07
2018-10-15 06:10:55,2018-10-15,06:10:55,AMK,G07
2018-10-15 06:11:08,2018-10-15,06:11:08,BGB,G04
2018-10-15 06:11:48,2018-10-15,06:11:48,KRJ,G17
2018-10-15 06:12:25,2018-10-15,06:12:25,KEM,G03
2018-10-15 06:12:28,2018-10-15,06:12:28,ORC,G26
2018-10-15 06:12:40,2018-10-15,06:12:40,YIS,G10
2018-10-15 06:13:02,2018-10-15,06:13:02,YIS,G06
2018-10-15 06:13:03,2018-10-15,06:13:03,MSL,G08
2018-10-15 06:13:06,2018-10-15,06:13:06,ADM,G10
2018-10-15 06:13:22,2018-10-15,06:13:22,JUR,G12
2018-10-15 06:13:44,2018-10-15,06:13:44,LKS,G07
2018-10-15 06:14:04,2018-10-15,06:14:04,ADM,G06
2018-10-15 06:15:20,2018-10-15,06:15:20,CNG,G08
2018-10-15 06:16:04,2018-10-15,06:16:04,LKS,G07
2018-10-15 06:16:15,2018-10-15,06:16:15,ADM,G06
2018-10-15 06:16:42,2018-10-15,06:16:42,MSL,G08
2018-10-15 06:17:10,2018-10-15,06:17:10,BNL,G03
2018-10-15 06:17:23,2018-10-15,06:17:23,WDL,G08
2018-10-15 06:17:44,2018-10-15,06:17:44,ADM,G06
2018-10-15 06:17:57,2018-10-15,06:17:57,SBW,G08
2018-10-15 06:18:01,2018-10-15,06:18:01,BDK,G03
2018-10-15 06:18:17,2018-10-15,06:18:17,SBW,G05
2018-10-15 06:18:32,2018-10-15,06:18:32,BNL,G03
2018-10-15 06:18:57,2018-10-15,06:18:57,AMK,G11
2018-10-15 06:18:57,2018-10-15,06:18:57,BNL,G03
2018-10-15 06:19:04,2018-10-15,06:19:04,BNL,G03
2018-10-15 06:19:30,2018-10-15,06:19:30,WDL,G03
2018-10-15 06:19:48,2018-10-15,06:19:48,BGS,G12
2018-10-15 06:20:22,2018-10-15,06:20:22,YIS,G07
2018-10-15 06:20:43,2018-10-15,06:20:43,EUN,G10
2018-10-15 06:20:52,2018-10-15,06:20:52,ADM,G08
2018-10-15 06:20:57,2018-10-15,06:20:57,MSL,G06
2018-10-15 06:21:06,2018-10-15,06:21:06,ADM,G07
2018-10-15 06:21:22,2018-10-15,06:21:22,YCK,G02
2018-10-15 06:21:48,2018-10-15,06:21:48,PSR,G05
2018-10-15 06:22:15,2018-10-15,06:22:15,SBW,G08
2018-10-15 06:22:17,2018-10-15,06:22:17,RFP,G26
2018-10-15 06:22:33,2018-10-15,06:22:33,AMK,G14
2018-10-15 06:22:37,2018-10-15,06:22:37,SBW,G06
2018-10-15 06:22:48,2018-10-15,06:22:48,ADM,G06
2018-10-15 06:23:00,2018-10-15,06:23:00,CTH,G10
2018-10-15 06:23:20,2018-10-15,06:23:20,SOM,G15
2018-10-15 06:23:21,2018-10-15,06:23:21,BDK,G04
2018-10-15 06:23:21,2018-10-15,06:23:21,SBW,G06
2018-10-15 06:23:24,2018-10-15,06:23:24,JUR,G08
2018-10-15 06:24:13,2018-10-15,06:24:13,YIS,G08
